Age,Gender,Weight (kg),Height (m),Avg_BPM,Session_Duration (hours),Workout_Type,Workout_Frequency (days/week),Experience_Level,Calories_Burned
30,Male,67.9,1.75,168,1.25,Yoga,2,1,1155
29,Male,121.1,1.87,130,1.31,HIIT,4,2,937
48,Female,71.5,1.64,154,1.46,Yoga,4,2,1012
19,Male,98.6,1.7,162,0.83,Cardio,2,1,740
52,Female,68.2,1.63,148,1.17,Strength,3,1,779
40,Female,57.7,1.69,156,1.18,HIIT,4,2,920
34,Male,124.6,1.63,136,1.41,HIIT,3,2,1055
43,Female,73,1.59,158,1.31,Yoga,3,1,931
25,Female,59.4,1.51,161,1.62,Cardio,5,3,1304
46,Female,52,1.65,147,0.7,Cardio,2,1,463
43,Female,42.2,1.65,148,1.33,Cardio,3,2,886
27,Male,89.3,1.64,162,1.82,HIIT,4,3,1622
43,Male,110,1.76,122,1.09,Yoga,3,1,658
51,Female,66.2,1.58,129,0.86,HIIT,3,1,499
58,Male,58.6,1.66,161,1.21,HIIT,2,1,964
24,Male,51,1.67,133,0.97,Strength,3,1,710
21,Male,101.5,1.95,131,0.97,Yoga,3,1,699
28,Male,114.2,1.87,166,1.05,Strength,3,2,959
46,Male,54.4,1.72,161,0.91,Cardio,2,1,725
53,Female,52.4,1.57,149,1.34,HIIT,3,2,898
42,Male,85.2,1.81,151,1.54,Yoga,5,3,1151
38,Male,83.6,1.74,151,1.66,Cardio,5,3,1379
53,Male,115.4,1.92,161,1.36,Yoga,4,2,1084
27,Male,71.2,1.97,151,0.74,HIIT,3,1,615
54,Female,78.1,1.6,145,1.1,Yoga,4,2,718
26,Female,54.2,1.65,120,1.07,Cardio,4,2,642
41,Female,77.6,1.76,161,1.27,Strength,4,2,920
52,Female,44.1,1.62,121,1.41,HIIT,3,1,768
52,Male,85.5,1.8,136,1.7,Strength,5,3,1144
53,Female,47.8,1.76,149,1.06,HIIT,4,2,711
35,Male,102.5,1.94,158,0.84,Cardio,2,1,730
56,Male,118,1.9,126,0.66,HIIT,2,1,412
49,Male,82.3,1.84,146,1.29,Strength,4,2,932
41,Male,81.6,1.87,128,1.87,HIIT,5,3,1185
40,Male,60.2,1.88,141,1.22,Cardio,3,2,946
49,Female,49.2,1.54,153,1.28,HIIT,3,2,881
54,Female,46.6,1.5,165,1.38,Strength,2,1,1025
29,Female,68.7,1.72,168,1.08,Cardio,4,2,907
30,Female,60.6,1.55,120,1.3,Strength,3,2,780
40,Male,52.1,1.61,128,0.87,HIIT,2,1,612
42,Female,46.6,1.77,139,0.61,Yoga,2,1,382
52,Male,65.5,1.74,138,1.48,Strength,4,2,1011
58,Female,44.2,1.57,155,1.08,HIIT,3,1,753
47,Male,89.1,1.84,159,1.44,Yoga,3,2,1133
34,Male,65.9,1.62,164,0.81,Yoga,2,1,731
37,Female,55.6,1.57,123,0.97,Cardio,2,1,597
42,Male,63.7,1.98,128,1.37,Yoga,2,1,868
39,Male,86.2,1.82,160,1.96,Strength,5,3,1725
30,Female,59.2,1.63,141,1.85,Strength,4,3,1304
36,Male,85.4,1.88,137,1.98,Yoga,5,3,1492
53,Female,68.1,1.55,131,1.41,HIIT,4,2,831
29,Female,60,1.62,161,0.85,Strength,2,1,684
58,Female,74.8,1.69,162,1.28,Strength,4,2,933
36,Male,90.3,1.65,158,1.38,Cardio,4,2,1199
29,Male,86.1,1.65,128,1.66,HIIT,4,3,1169
26,Male,73.7,1.66,125,0.93,Yoga,2,1,639
24,Female,67.7,1.56,138,1.42,HIIT,3,2,980
45,Male,78.3,1.96,167,1.29,Cardio,3,1,1066
31,Female,48.2,1.65,166,1.1,Cardio,2,1,913
48,Female,56.8,1.51,126,1.37,HIIT,4,2,777
36,Male,112.4,1.63,135,1.02,Cardio,4,2,757
33,Female,59,1.67,124,0.9,Cardio,3,1,558
22,Male,98.4,1.88,135,0.52,Cardio,2,1,386
52,Male,66.5,1.6,120,1.34,HIIT,4,2,796
29,Male,106.5,1.81,156,1.29,Cardio,4,2,1107
42,Male,88.4,1.93,158,1.68,Yoga,4,3,1314
38,Male,88.4,1.79,138,1.74,Yoga,5,3,1321
53,Female,53.3,1.74,156,1.37,Strength,3,2,962
40,Female,58.1,1.56,136,0.61,Yoga,2,1,415
33,Female,74.2,1.76,145,1.15,Strength,4,2,834
56,Male,84.6,1.63,141,1.01,HIIT,4,2,705
59,Male,78,1.92,127,0.72,Cardio,3,1,453
56,Male,89,1.68,152,1.77,Yoga,5,3,1332
31,Female,42.7,1.76,121,1.46,Strength,3,1,883
48,Male,83.9,1.82,149,1.9,HIIT,5,3,1401
22,Female,78.7,1.52,166,1.45,Strength,3,2,1204
52,Female,65.9,1.52,139,1.27,Cardio,4,2,794
40,Male,76.9,1.92,137,1.13,Yoga,4,2,851
46,Male,84.3,2,162,1.83,HIIT,5,3,1467
28,Female,62.4,1.6,129,1.1,Strength,3,2,710
35,Male,63.7,1.74,143,1.03,HIIT,4,2,810
29,Female,54.9,1.52,123,1.48,Strength,3,1,910
26,Male,76.4,1.79,156,1.17,Strength,3,2,1004
27,Male,106.4,1.86,123,1.34,Cardio,2,1,907
34,Female,68.4,1.5,132,1.37,Cardio,4,2,904
55,Male,63.5,1.86,144,1.36,Strength,4,2,969
24,Female,59.4,1.5,132,1.25,Yoga,3,2,825
30,Male,113.4,1.91,137,1.27,HIIT,3,1,957
57,Female,61.9,1.52,143,0.92,HIIT,3,1,592
59,Female,70.7,1.68,121,1.17,Cardio,3,2,637
26,Male,111.5,1.9,167,1.02,Yoga,2,1,937
44,Female,72.1,1.66,152,1.4,Strength,2,1,958
19,Male,56.9,1.87,138,0.61,Cardio,3,1,463
22,Male,86.2,1.9,128,1.91,Strength,5,3,1345
46,Male,59.4,1.68,147,1.16,Strength,4,2,844
54,Female,75.6,1.72,154,0.97,Cardio,3,1,672
55,Female,76.3,1.73,158,1.08,Yoga,3,1,768
36,Male,95.8,1.86,129,1.37,HIIT,3,1,972
25,Male,120.6,1.83,120,1.04,Cardio,3,2,686
18,Female,65.3,1.55,161,1.42,Yoga,3,2,1143
39,Male,85.3,1.89,140,0.77,Strength,2,1,593
34,Male,68,1.68,128,0.67,Cardio,2,1,472
24,Female,52.6,1.57,166,1.29,HIIT,2,1,1071
42,Male,63.3,1.77,134,1.32,HIIT,3,2,876
21,Female,76.3,1.65,154,1.14,Strength,3,2,878
53,Male,61,1.63,124,0.54,Cardio,3,1,331
23,Female,67.8,1.61,160,1.34,HIIT,2,1,1072
48,Male,114.9,1.86,141,1.36,Cardio,3,1,949
36,Male,88,1.71,160,1.87,HIIT,5,3,1646
56,Female,67.7,1.58,142,1.45,Strength,2,1,927
44,Male,124.8,1.85,126,1.35,Strength,4,2,842
27,Female,53,1.58,142,1.26,Cardio,4,2,895
43,Male,61.2,1.88,163,1.03,Yoga,3,1,831
36,Female,48.7,1.68,144,1.23,Yoga,3,1,886
56,Female,50.6,1.7,146,1.29,Strength,2,1,848
20,Female,72.6,1.73,160,1.27,HIIT,3,2,1016
30,Female,70.4,1.56,125,1.03,Yoga,4,2,644
45,Male,52.5,1.88,153,1.08,Strength,4,2,818
37,Male,76.3,1.77,128,1.36,HIIT,4,2,957
45,Female,41.2,1.58,168,1.47,HIIT,2,1,1111
25,Female,55.3,1.76,152,1.56,Yoga,4,3,1186
58,Female,49.7,1.67,125,1.38,Strength,4,2,776
56,Male,48.3,1.87,156,0.68,HIIT,3,1,525
18,Male,83.2,1.96,150,1.83,HIIT,4,3,1510
20,Male,120.5,1.73,153,1.01,Cardio,3,2,850
30,Male,121.6,2,160,1.24,Cardio,4,2,1091
45,Female,73,1.75,148,1.14,Yoga,4,2,759
42,Female,57.5,1.67,133,1.76,Cardio,5,3,1053
50,Female,42.7,1.53,155,1.41,Strength,4,2,983
55,Male,129.9,1.73,155,0.69,Yoga,3,1,529
23,Male,108.6,1.92,134,0.89,Yoga,2,1,656
49,Male,88.6,2,127,1.83,Cardio,4,3,1150
38,Female,49.7,1.51,145,1.25,HIIT,3,1,906
33,Female,56.4,1.54,155,1.06,Strength,3,1,822
38,Male,46.9,1.74,167,1.03,Strength,4,2,946
28,Female,71.3,1.67,140,1.46,Strength,4,2,1022
54,Male,71.6,1.86,147,1.14,Yoga,3,2,830
53,Male,82.3,1.61,123,1.87,Strength,5,3,1139
52,Female,70.6,1.69,135,1.36,HIIT,3,1,826
36,Male,109.8,1.62,141,0.84,HIIT,3,1,651
37,Female,73.5,1.69,131,0.54,Cardio,2,1,354
35,Male,85.6,1.85,135,1.78,Strength,5,3,1322
58,Female,74.6,1.68,159,1.03,Yoga,4,2,737
31,Female,63.2,1.8,157,0.59,Cardio,2,1,463
32,Female,62.6,1.63,161,1.67,HIIT,5,3,1344
48,Male,87.1,1.76,156,1.81,Strength,5,3,1398
18,Male,82.3,1.84,148,1.73,HIIT,5,3,1408
20,Female,64.3,1.78,137,1.71,Cardio,4,3,1171
33,Female,53.7,1.66,129,1.25,HIIT,3,1,806
40,Male,63,2,161,1.42,Strength,4,2,1257
28,Male,128.4,1.86,158,1.06,Strength,4,2,921
29,Male,88,1.89,137,1.75,Cardio,5,3,1319
27,Female,63.7,1.52,120,1.19,Strength,4,2,714
49,Male,83.7,1.87,158,1.29,HIIT,4,2,1009
33,Male,102.6,1.75,140,1.4,HIIT,3,2,1078
25,Female,77.7,1.55,120,0.55,Yoga,2,1,330
55,Male,87.5,1.88,134,1.19,Yoga,4,2,789
29,Male,87,1.86,123,1.52,Yoga,4,3,1028
41,Male,82.8,1.66,139,1.97,HIIT,5,3,1355
45,Female,65.4,1.68,129,0.76,HIIT,3,1,441
25,Female,47.2,1.71,142,0.89,Cardio,2,1,632
45,Female,58.2,1.7,160,0.95,Yoga,3,1,684
53,Female,73.5,1.55,153,1.17,HIIT,4,2,806
43,Female,55.2,1.73,165,1.67,Cardio,5,3,1240
25,Female,64.4,1.71,167,1.12,HIIT,3,1,935
45,Female,73.5,1.74,152,1.18,Cardio,4,2,807
45,Male,89.6,1.81,153,1.7,Yoga,5,3,1287
54,Male,86.5,1.76,158,1.48,Yoga,3,2,1158
58,Female,46.1,1.67,129,1.28,Yoga,4,2,743
53,Male,68.5,1.97,139,1.3,HIIT,3,2,894
44,Male,94.6,1.84,120,1.26,HIIT,4,2,748
34,Female,54.2,1.52,132,1.13,Cardio,3,1,746
26,Male,47.7,1.77,120,1.15,Strength,3,2,759
50,Male,52.2,1.84,124,1.38,Strength,4,2,847
37,Male,88.8,1.95,135,1.58,Yoga,5,3,1173
30,Male,101,1.68,134,1.46,Strength,4,2,1076
45,Male,118.4,1.95,168,1.06,Yoga,3,2,881
46,Female,47.9,1.72,147,1.41,Cardio,3,1,933
30,Female,51.5,1.74,150,1.08,Strength,3,2,810
52,Female,79.9,1.51,142,0.75,Strength,3,1,479
23,Male,121.3,1.85,167,0.72,Yoga,2,1,661
35,Female,78.9,1.64,164,1.28,Cardio,4,2,1050
22,Male,88.5,1.62,162,1.88,Strength,5,3,1675
42,Male,73.5,1.63,136,0.52,Strength,3,1,350
19,Male,127.9,1.93,168,1.27,Strength,4,2,1173
27,Male,88.5,1.98,153,1.8,Cardio,4,3,1515
47,Female,43.4,1.62,132,0.51,Cardio,3,1,303
22,Female,42.8,1.56,133,1.47,Strength,3,2,978
50,Male,64.5,1.79,130,1.17,Yoga,4,2,753
18,Female,50.7,1.53,147,1.29,Yoga,3,2,948
35,Male,59.2,1.66,161,1.3,Strength,3,1,1151
49,Female,78.9,1.73,151,1.38,Cardio,2,1,938
28,Female,78.7,1.63,154,1.1,Strength,3,2,847
38,Male,68.7,1.92,150,1.31,Cardio,4,2,1081
43,Female,53.1,1.59,136,0.82,Strength,2,1,502
42,Male,64.8,1.65,166,1.1,Cardio,3,2,904
39,Female,50.3,1.61,128,1.17,HIIT,2,1,749
44,Male,102.3,1.63,129,1.34,Yoga,4,2,856
30,Male,62.9,1.92,127,1.13,HIIT,2,1,789
50,Female,56.5,1.6,140,1.88,Yoga,5,3,1184
51,Female,74.6,1.55,132,0.71,Cardio,2,1,422
58,Male,52,1.79,169,1.12,HIIT,3,1,937
52,Female,52.1,1.67,124,1.5,Yoga,2,1,837
18,Female,72.2,1.54,125,0.97,Strength,2,1,606
38,Male,85.8,1.8,149,1.72,Cardio,4,3,1410
23,Male,81.4,1.85,150,1.6,Cardio,4,3,1320
45,Female,50.9,1.65,136,1.45,Strength,2,1,887
34,Male,52,1.78,130,1.38,Strength,4,2,987
22,Male,71,1.93,139,1.42,Yoga,4,2,1086
48,Male,80.6,1.77,167,1.51,Cardio,4,3,1248
22,Female,58.3,1.72,128,1,Yoga,3,2,640
55,Female,63,1.7,121,1.32,Strength,3,1,719
20,Male,111,1.94,156,1.02,Cardio,4,2,875
40,Female,52.6,1.66,120,1.27,Strength,3,2,762
54,Male,116.4,2,123,1.13,Yoga,3,1,688
54,Female,75.6,1.61,155,1.41,Yoga,4,2,983
27,Male,61.6,1.8,144,1.48,Yoga,2,1,1172
27,Male,108,1.8,122,1.38,Cardio,4,2,926
36,Female,59.3,1.75,128,0.99,Strength,3,1,634
34,Male,75.7,1.94,141,1.18,Strength,4,2,915
38,Female,56.3,1.6,142,1.21,Yoga,4,2,859
31,Female,58.2,1.73,131,1.17,Yoga,3,2,766
26,Male,55.7,1.68,129,1.13,Yoga,3,1,802
18,Male,125.9,1.67,153,1.46,Yoga,3,2,1229
30,Female,62.7,1.67,162,1.02,HIIT,4,2,826
21,Male,86.6,1.86,129,1.37,HIIT,3,2,972
18,Male,64.5,1.82,149,1.2,HIIT,3,2,983
57,Male,76.6,1.86,141,1.14,Yoga,4,2,796
49,Male,81.4,1.83,125,1.98,Yoga,5,3,1225
51,Male,60.7,1.71,169,1.14,Strength,2,1,954
45,Female,57.2,1.55,121,1.67,Cardio,5,3,909
48,Female,73,1.59,149,1.19,Strength,3,2,798
25,Male,123.8,1.99,121,1.13,HIIT,3,1,752
56,Male,93.6,1.66,151,1.37,Strength,2,1,1024
43,Male,76.8,1.92,161,1.24,Yoga,3,1,988
51,Female,54.7,1.53,135,1.11,HIIT,4,2,674
20,Male,92.3,1.94,131,1.14,HIIT,3,2,821
29,Female,71.8,1.55,120,1.2,Cardio,4,2,720
18,Female,66.9,1.57,127,1.07,Cardio,3,2,679
22,Female,48.7,1.76,167,1.37,HIIT,4,2,1144
47,Male,66.2,1.71,169,1.42,HIIT,3,1,1188
47,Female,40,1.76,132,0.8,Strength,3,1,475
34,Male,112.4,1.85,134,1.18,HIIT,4,2,870
40,Female,70,1.55,163,0.85,Yoga,3,1,693
32,Male,84,1.74,127,1.45,Strength,3,1,1013
54,Female,43.8,1.65,129,1.29,Yoga,4,2,749
38,Male,123.3,1.62,165,1.34,Yoga,4,2,1216
31,Female,57.9,1.56,124,1.8,Yoga,5,3,1116
19,Male,82.4,1.96,169,1.9,HIIT,5,3,1766
28,Male,84.8,1.79,138,1.35,Cardio,4,2,1025
56,Male,109.6,1.66,166,1.29,Cardio,3,2,1060
55,Male,86.4,1.77,157,1,Yoga,3,2,777
51,Female,63.9,1.8,130,1.07,HIIT,4,2,626
55,Female,70.8,1.62,162,0.54,Strength,3,1,394
51,Male,115.3,1.67,139,1.38,Yoga,3,2,950
35,Female,55.3,1.56,139,1.71,Strength,5,3,1188
47,Male,73.9,1.8,140,1.36,Strength,3,1,942
32,Male,97.3,1.96,137,1.36,HIIT,3,2,1025
44,Female,60.4,1.65,169,1.27,HIIT,4,2,966
51,Male,49.3,1.61,129,1.36,Cardio,2,1,868
55,Male,91.8,1.78,153,1.44,Cardio,3,1,1091
50,Female,73.6,1.55,145,0.89,HIIT,3,1,581
41,Male,47.1,1.78,149,1.26,Yoga,3,1,929
32,Male,65.2,1.62,128,0.58,Cardio,2,1,408
47,Male,87.2,1.64,165,2,Strength,4,3,1634
59,Male,96.7,1.71,150,0.57,Yoga,3,1,423
34,Female,46.9,1.61,161,1.02,Strength,3,2,821
22,Female,72.1,1.62,123,1.38,HIIT,3,1,849
46,Female,62.5,1.54,125,1.61,Strength,4,3,906
21,Male,110.7,1.69,133,1.06,Yoga,3,1,775
27,Male,102.6,1.83,123,1.41,HIIT,3,2,954
34,Female,64.3,1.62,145,1.76,Yoga,5,3,1276
27,Male,80.7,1.61,166,1.75,Strength,4,3,1598
34,Male,115.3,1.81,167,1.36,Yoga,2,1,1249
37,Male,87.8,1.69,158,1.81,HIIT,5,3,1573
41,Male,74.3,1.61,136,1.06,Strength,4,2,714
22,Female,78.5,1.7,138,1.36,Strength,4,2,938
51,Female,77.3,1.58,168,0.97,Cardio,2,1,733
23,Female,64.5,1.7,125,0.51,Cardio,2,1,319
19,Male,72,1.94,148,1.17,Yoga,3,2,952
30,Female,77.9,1.77,130,1.41,Cardio,4,2,916
28,Female,69.6,1.58,135,1.49,Cardio,3,2,1006
40,Male,68.9,1.99,149,1.16,Cardio,4,2,951
33,Male,45.9,1.89,144,1.45,Cardio,3,2,1148
48,Female,68.2,1.69,159,0.75,HIIT,3,1,537
28,Female,79.6,1.59,130,1.49,HIIT,3,2,968
33,Female,53.6,1.52,126,1.02,Cardio,2,1,643
25,Female,57.7,1.58,145,1.36,Yoga,3,2,986
21,Male,74.2,1.93,141,1.32,HIIT,3,2,1024
57,Female,64.4,1.56,144,1.52,Cardio,5,3,985
21,Female,54.9,1.78,138,0.55,HIIT,2,1,380
42,Male,50.3,1.64,150,0.63,Strength,3,1,468
20,Female,46.5,1.68,145,0.91,HIIT,2,1,660
49,Male,57.8,1.99,161,0.93,HIIT,3,1,741
20,Male,83,1.8,160,0.79,Yoga,2,1,695
44,Male,82.5,1.79,155,1.51,HIIT,5,3,1159
46,Female,66.5,1.73,142,1.11,Yoga,3,1,709
49,Female,70.2,1.67,166,0.93,Strength,3,1,695
36,Male,121.9,1.93,132,1.49,Cardio,3,2,1082
38,Female,70.3,1.52,144,1.19,Yoga,4,2,857
22,Female,40.3,1.56,121,1.45,HIIT,4,2,877
35,Male,101.4,1.76,121,0.84,HIIT,2,1,559
45,Male,79.2,1.95,135,1.47,Yoga,3,2,982
59,Female,75.8,1.77,128,1.46,Strength,3,1,841
39,Male,71.7,1.88,147,0.55,Cardio,2,1,445
38,Female,57.7,1.56,132,1.64,HIIT,5,3,1082
23,Female,47.4,1.6,154,0.76,Strength,3,1,585
18,Female,57.2,1.75,160,1.29,Cardio,3,2,1032
22,Female,44.8,1.72,132,1.48,Cardio,4,2,977
58,Male,90.2,1.72,150,0.9,HIIT,2,1,668
29,Male,84.9,1.72,140,1.79,Yoga,4,3,1378
43,Male,95.7,1.77,151,1.08,HIIT,3,1,807
51,Male,59,1.65,153,1.22,HIIT,3,2,924
31,Female,60.5,1.77,127,1.72,HIIT,4,3,1092
43,Female,53.8,1.72,160,1.03,Strength,4,2,742
44,Male,86.6,1.97,167,1.66,Yoga,5,3,1372
26,Female,72.8,1.67,121,1.37,Strength,2,1,829
43,Female,66.3,1.77,157,1.48,HIIT,4,2,1046
39,Female,56,1.6,151,0.89,Yoga,2,1,672
47,Male,45.9,1.93,159,1.29,Cardio,3,2,1015
34,Male,88,1.64,147,1.9,Yoga,4,3,1536
43,Male,94,1.79,156,1.31,HIIT,2,1,1012
53,Female,44.7,1.79,160,1.34,Yoga,3,2,965
18,Male,63.2,1.63,120,0.66,Cardio,3,1,436
25,Male,95.6,1.9,160,1.47,Cardio,4,2,1294
52,Male,47.8,1.86,129,1.01,Yoga,3,2,645
32,Male,85.3,1.64,123,1.77,Cardio,4,3,1197
39,Male,59.7,1.83,154,1.35,Strength,4,2,1143
31,Male,70.2,1.98,129,0.71,Yoga,2,1,504
43,Female,72.7,1.8,166,0.79,Cardio,3,1,590
45,Female,50.4,1.79,130,0.74,Cardio,2,1,433
40,Male,81.7,1.74,133,0.91,Yoga,2,1,666
31,Male,49.3,1.62,157,0.56,Strength,2,1,484
41,Female,61.9,1.64,131,1.93,Yoga,4,3,1138
19,Female,49.1,1.68,164,1.42,Cardio,4,2,1164
43,Male,66.5,1.83,136,1.11,Yoga,3,2,747
31,Male,75.5,1.93,135,0.6,Cardio,2,1,446
24,Male,88.2,1.79,154,1.76,HIIT,4,3,1491
20,Male,74.8,1.75,121,1.33,Yoga,3,2,885
40,Female,72.2,1.6,130,0.87,Yoga,3,1,566
35,Male,62.8,1.63,160,1.41,Cardio,4,2,1241
55,Male,84.7,1.79,122,1.19,Cardio,3,2,719
52,Male,116.5,1.69,148,0.53,Cardio,2,1,388
32,Male,77.4,1.92,137,1.39,Cardio,3,2,1047
42,Female,72.9,1.62,139,1.17,Yoga,4,2,732
54,Female,58.4,1.59,166,1.08,Cardio,2,1,807
45,Female,64.3,1.54,133,1.67,Yoga,4,3,999
27,Male,89.3,1.87,153,1.62,Strength,5,3,1363
56,Male,90.2,1.61,168,1.38,Yoga,3,2,1148
34,Female,59,1.62,150,1.13,Cardio,4,2,847
56,Male,58.7,1.86,159,1.09,Cardio,3,2,858
39,Male,127.5,1.82,161,1.26,Strength,3,2,1116
43,Female,68.6,1.52,137,1.42,Yoga,4,2,875
42,Female,56.7,1.53,149,1.07,Strength,3,1,717
34,Female,64.5,1.78,144,1.33,Yoga,4,2,958
30,Female,61.6,1.52,138,1.78,Cardio,4,3,1228
37,Male,75.1,1.82,127,1.23,Yoga,4,2,859
42,Male,79.3,1.93,147,1.22,Cardio,2,1,888
21,Female,72.6,1.68,127,1.19,Cardio,3,2,756
27,Male,76.7,1.7,150,0.96,HIIT,3,1,792
20,Female,44.2,1.61,122,1.08,HIIT,2,1,659
58,Female,56.5,1.7,122,0.74,Yoga,2,1,406
35,Male,100.9,1.63,163,1.1,Cardio,2,1,986
53,Female,55.8,1.55,141,1.12,Strength,4,2,711
39,Male,58.3,1.93,136,1.35,Cardio,4,2,1010
51,Male,48.6,1.77,155,1.47,Strength,2,1,1128
25,Male,81.7,1.95,136,1.94,Yoga,4,3,1451
57,Male,85.6,1.69,133,1.76,Yoga,5,3,1159
36,Female,60,1.72,128,1.63,Strength,5,3,1043
59,Male,126.4,1.69,149,1.24,Strength,3,1,915
58,Female,75.4,1.78,140,1.05,Cardio,4,2,662
54,Female,64.2,1.69,131,1.69,Yoga,4,3,996
23,Female,65.2,1.62,156,1.37,Cardio,3,2,1069
43,Female,70.1,1.66,151,0.99,Strength,2,1,673
51,Male,102.6,1.77,130,1.21,HIIT,2,1,779
23,Male,107.2,1.93,139,1.15,HIIT,4,2,879
54,Female,56.5,1.75,154,1.76,HIIT,5,3,1220
50,Female,61.6,1.75,166,1.22,Strength,4,2,911
39,Male,81.7,1.75,165,1.32,Cardio,4,2,1198
38,Female,76.6,1.58,130,0.74,Yoga,2,1,481
23,Male,116.8,1.79,127,1,Strength,4,2,698
23,Female,60.1,1.59,123,1.8,HIIT,4,3,1107
21,Male,93.7,1.73,146,1,Cardio,2,1,803
47,Female,41.6,1.58,163,1.03,Yoga,4,2,756
28,Female,55.1,1.79,159,1.99,Yoga,5,3,1582
47,Male,127.1,1.76,157,0.71,Strength,2,1,552
48,Female,69.1,1.6,166,1.34,Strength,4,2,1001
41,Female,66.8,1.74,149,1.34,Yoga,3,1,898
26,Male,125.5,1.76,163,1.15,Yoga,4,2,1031
20,Female,71.3,1.58,167,1.07,HIIT,3,2,893
48,Male,129.2,1.61,167,1.06,Yoga,4,2,876
57,Male,96.3,1.86,146,1.1,Strength,3,2,795
54,Female,67.5,1.54,140,0.72,Cardio,3,1,454
53,Female,64.4,1.55,139,1.77,HIIT,4,3,1107
41,Female,64.9,1.57,123,1.04,HIIT,4,2,576
48,Female,52.3,1.66,130,0.74,Yoga,3,1,433
23,Female,56.7,1.55,132,1.38,Cardio,4,2,911
19,Female,46.8,1.63,128,1.35,HIIT,4,2,864
37,Female,70.3,1.77,123,1.01,Strength,2,1,621
45,Male,80.8,1.76,131,1.7,Yoga,4,3,1102
28,Female,56,1.5,128,1.94,Strength,5,3,1242
21,Male,101.2,1.84,132,1.3,Yoga,2,1,944
32,Female,56.6,1.57,167,1.65,HIIT,4,3,1378
23,Female,40.9,1.75,145,0.82,Yoga,3,1,594
47,Male,127.8,1.65,157,0.77,Cardio,2,1,598
55,Female,49.3,1.76,161,1.28,Strength,2,1,927
19,Female,64.3,1.63,132,1.87,Cardio,5,3,1234
32,Male,49.3,1.62,158,1.18,Strength,3,2,1025
28,Female,63,1.62,147,0.68,Strength,2,1,500
25,Female,41.1,1.67,138,1.03,Yoga,3,2,711
43,Female,40.5,1.74,143,1.5,HIIT,3,2,965
22,Male,71,1.62,138,0.91,HIIT,2,1,691
23,Female,60.9,1.62,168,1.59,Cardio,5,3,1336
43,Female,64.7,1.66,132,1.88,Yoga,4,3,1117
21,Female,51,1.71,132,1.07,HIIT,3,2,706
36,Female,57.7,1.77,147,1.65,Strength,4,3,1213
37,Male,76.9,1.82,121,1.49,Strength,4,2,992
50,Male,80.5,1.77,129,1.85,Yoga,4,3,1181
37,Female,73.3,1.74,141,1.03,Cardio,3,2,726
29,Female,49,1.57,132,1.33,Yoga,3,2,878
18,Male,114.5,1.97,128,1.03,Cardio,3,1,725
43,Male,81,1.78,152,1.58,Yoga,5,3,1189
31,Female,53.5,1.76,133,1.22,Strength,4,2,811
55,Male,52.1,1.68,167,0.77,Yoga,3,1,637
54,Female,70.1,1.52,139,0.76,HIIT,2,1,475
28,Male,86.9,1.78,134,1.29,HIIT,4,2,951
53,Male,73.4,1.76,151,1.09,Yoga,3,2,815
30,Male,90,1.66,152,1.32,Cardio,4,2,1104
20,Male,85.7,1.92,136,1.72,Cardio,5,3,1287
50,Female,70.4,1.55,143,0.73,Strength,2,1,470
23,Male,57.7,1.71,149,1.15,Strength,3,2,942
27,Male,75.7,1.76,132,0.68,Cardio,3,1,494
22,Female,61.8,1.52,166,1.83,Yoga,5,3,1519
40,Male,80.3,1.76,167,1.63,Strength,5,3,1497
27,Male,104.3,1.68,135,1.28,Cardio,3,2,950
19,Female,65.7,1.58,121,1.46,Cardio,3,2,883
30,Male,120.3,1.96,136,0.66,Yoga,2,1,494
57,Female,51.9,1.57,151,1.05,HIIT,3,2,713
19,Female,59.1,1.57,162,1.65,Cardio,5,3,1336
37,Female,66.9,1.75,127,1.38,Strength,4,2,876
18,Female,66.9,1.75,122,0.94,Yoga,2,1,573
54,Male,78.7,1.66,131,1.42,Yoga,3,2,921
26,Female,62.4,1.61,139,1.88,Yoga,4,3,1307
34,Male,102.1,1.71,135,0.96,HIIT,2,1,713
26,Male,51.9,2,133,0.75,HIIT,2,1,549
28,Male,58.3,2,135,1.32,Strength,4,2,980
32,Male,89.8,1.92,168,1.93,Strength,4,3,1783
41,Male,101.1,1.83,162,0.79,Yoga,2,1,634
55,Male,118.6,1.72,168,0.77,Strength,3,1,640
52,Male,84.8,1.85,152,1.19,Cardio,2,1,895
47,Male,80,1.77,149,0.72,HIIT,3,1,531
48,Male,73.1,1.83,131,1.05,Yoga,4,2,681
22,Male,117.3,1.68,134,1.24,Yoga,3,2,914
31,Female,77.4,1.71,137,1.26,Cardio,4,2,863
28,Female,72.9,1.67,147,1.13,Cardio,3,2,831
26,Female,71.2,1.5,142,1.15,Cardio,2,1,816
51,Male,88.2,1.62,133,1.56,Cardio,4,3,1027
29,Female,75.6,1.8,149,1.31,Yoga,4,2,976
52,Female,57.9,1.56,152,1.66,HIIT,4,3,1135
52,Female,70.6,1.58,164,1.02,HIIT,3,2,753
18,Male,118.6,1.64,134,0.94,Cardio,3,1,693
57,Male,55.7,1.99,126,1.13,Strength,3,2,705
39,Male,102.3,1.94,134,0.89,Yoga,3,1,656
46,Male,72.6,1.87,161,1.31,HIIT,4,2,1044
25,Female,63.8,1.68,165,0.95,Cardio,2,1,784
28,Female,67.3,1.67,157,0.61,Strength,3,1,479
